Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
F2MP17-1-Power_3,K0234,Float,1,R/W,100,,,,,,,,,,,
F2MP17-1-Power_Factor_1,K0235,Float,1,R/W,100,,,,,,,,,,,
F2MP17-1-Power_Factor_2,K0236,Float,1,R/W,100,,,,,,,,,,,
F2MP17-1-Power_Factor_3,K0237,Float,1,R/W,100,,,,,,,,,,,
F2MP17-1-Power_Factor_Total,K0238,Float,1,R/W,100,,,,,,,,,,,
F2MP12-2-KWh,K0239,Float,1,R/W,100,,,,,,,,,,,
F2MP12-2-Energy,K0240,Float,1,R/W,100,,,,,,,,,,,
F2MP12-2-Voltage_1,K0241,Float,1,R/W,100,,,,,,,,,,,
F2MP12-2-Voltage_2,K0242,Float,1,R/W,100,,,,,,,,,,,
F2MP12-2-Voltage_3,K0243,Float,1,R/W,100,,,,,,,,,,,
F2MP12-2-Voltage_N,K0244,Float,1,R/W,100,,,,,,,,,,,
F2MP12-2-Current_1,K0245,Float,1,R/W,100,,,,,,,,,,,
F2MP12-2-Current_2,K0246,Float,1,R/W,100,,,,,,,,,,,
F2MP12-2-Current_3,K0247,Float,1,R/W,100,,,,,,,,,,,
F2MP12-2-Current_AVG,K0248,Float,1,R/W,100,,,,,,,,,,,
F2MP12-2-Power_1,K0249,Float,1,R/W,100,,,,,,,,,,,
F2MP12-2-Power_2,K0250,Float,1,R/W,100,,,,,,,,,,,
F2MP12-2-Power_3,K0251,Float,1,R/W,100,,,,,,,,,,,
F2MP12-2-Power_Factor_1,K0252,Float,1,R/W,100,,,,,,,,,,,
F2MP12-2-Power_Factor_2,K0253,Float,1,R/W,100,,,,,,,,,,,
F2MP12-2-Power_Factor_3,K0254,Float,1,R/W,100,,,,,,,,,,,
F2MP12-2-Power_Factor_Total,K0255,Float,1,R/W,100,,,,,,,,,,,
F2MP13-2-KWh,K0256,Float,1,R/W,100,,,,,,,,,,,
